Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.7319E-09,5.4338E-07,0.026975,0,0,0,3.4072,0.00319,7.149E-11,6.0313E-11,0.010531,6.926E-09,0.012315,0,0,0,0,0,0,package://huron_description_3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/base_link.STL,,Pelvis Assembly-1,Coordinate System13,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_upper_thigh,0.00063027,0.00053867,0.081628,0,0,0,1.6968,0.0022702,-2.5443E-06,-6.6462E-06,0.0026746,-4.6965E-08,0.001238,0,0,0,0,0,0,package://huron_description_3/meshes/left_upper_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/left_upper_thigh.STL,,Brkt_Stg1_Assembly_Mirror-1;Flipsky Motor-6;VEX Planetary Gearbox Standin Assem-3;6495K714_Timing Belt 14T Pulley-5,Coordinate System1,Axis1,hip_2_left_upper_thigh,revolute,-0.0775,0,0,3.1416,0,0,base_link,0,0,1,0,0,-3.14159,3.14159,,,,,,,,
left_middle_thigh,-0.071962,-0.0061153,-6.8323E-05,0,0,0,1.1884,0.00098222,-9.8651E-08,-3.7349E-07,0.00097045,9.7904E-08,0.00092365,0,0,0,0,0,0,package://huron_description_3/meshes/left_middle_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/left_middle_thigh.STL,,Brkt_stg2_assembly-2;6495K723_Timing Belt 28T Pulley-7;6495K723_Timing Belt 28T Pulley-5,Coordinate System3,Axis3,left_thigh_roll,revolute,0,0,0.14512,1.5708,0,0,left_upper_thigh,-0.0062919,0,-0.99998,0,0,-3.14159,3.14159,,,,,,,,
left_lower_thigh,-0.26603,-0.00028821,-0.053151,0,0,0,4.2544,0.0034527,1.2487E-05,0.0019796,0.010032,3.6402E-07,0.01009,0,0,0,0,0,0,package://huron_description_3/meshes/left_lower_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/left_lower_thigh.STL,,Brkt_Stg3_Assembly-2;6495K714_Timing Belt 14T Pulley-6;Femur_screwed-2;Flipsky Motor-3;VEX Planetary Gearbox Standin Assem-4;Flipsky Motor-5;6495K714_Timing Belt 14T Pulley-3;VEX Planetary Gearbox Standin Assem-2;6495K723_Timing Belt 28T Pulley-3;Knee Bracket Stage 1-3,Coordinate System4,Axis6,left_thigh_pitch,revolute,0,0,0,-1.5708,0,-1.5708,left_middle_thigh,0,0.0062919,0.99998,0,0,-3.14159,3.14159,,,,,,,,
left_shin,-0.11465,-0.02006,0.00081884,0,0,0,1.6058,0.0011647,-5.0624E-06,-2.9504E-10,0.0075438,-2.6087E-11,0.0077351,0,0,0,0,0,0,package://huron_description_3/meshes/left_shin.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/left_shin.STL,,Knee Bracket Stage 2 Assembly-2;Ankle V6 Assembly-2/Ankle Top Plate v3-1;Ankle V6 Assembly-2/Ground Link V2-1;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-4;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-3;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-1;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-2,Coordinate System7,Axis4,left_knee,revolute,-0.51128,4.9894E-05,-1.6979E-05,-0.0062919,0,0,left_lower_thigh,0,0,1,0,0,-3.14159,3.14159,,,,,,,,
left_ankle_roll_link,-1.236E-05,5.5727E-07,0.0002779,0,0,0,0.081641,2.0993E-05,-5.1227E-07,-2.8075E-10,1.0351E-05,4.0729E-12,2.2395E-05,0,0,0,0,0,0,package://huron_description_3/meshes/left_ankle_roll_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://huron_description_3/meshes/left_ankle_roll_link.STL,,Ankle V6 Assembly-2/Ankle Pitch and Roll Coupling V2-2,Coordinate System12,Axis18,left_ankle_roll,revolute,-0.425,-0.0345,0,1.5708,0,0,left_shin,0,0,1,0,0,-3.14159,3.14159,,,,,,,,
left_foot,-0.027041,-0.034311,0.00083257,0,0,0,2.6907,0.0080929,0.00024558,-5.8611E-05,0.0012877,0.0001125,0.0070808,0,0,0,0,0,0,package://huron_description_3/meshes/left_foot.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://huron_description_3/meshes/left_foot.STL,,Ankle V6 Assembly-2/Ankle Roll Actuation Link V3-2;Ankle V6 Assembly-2/Bottom Joint Connector V3-1;Ankle V6 Assembly-2/Bottom Joint Connector V3-2;Ankle V6 Assembly-2/Foot Assembled-1/Foot 3-1;Ankle V6 Assembly-2/Foot Assembled-1/TopBlock-1;Ankle V6 Assembly-2/Foot Assembled-1/AnkleBlock-1;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-1;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-3;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-4;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-2;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-3;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-2;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-4;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-6;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-8;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-1;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-5;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-7,Coordinate System11,Axis17,left_ankle_pitch,revolute,0,0,0,-1.5708,0,0,left_ankle_roll_link,-0.047968,0,-0.99885,0,0,-3.14159,3.14159,,,,,,,,
right_upper_thigh,-0.00063014,0.00051325,0.081619,0,0,0,1.6968,0.0022729,-4.4685E-06,6.646E-06,0.0026746,6.8245E-08,0.0012354,0,0,0,0,0,0,package://huron_description_3/meshes/right_upper_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/right_upper_thigh.STL,,Brkt_Stg1_Assembly-1;Flipsky Motor-1;6495K714_Timing Belt 14T Pulley-1;VEX Planetary Gearbox Standin Assem-6,Coordinate System2,Axis2,hip_2_right_upper_thigh,revolute,0.0775,0,0,-3.1416,0,0,base_link,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
right_middle_thigh,0.07195,-0.0061152,-0.0013261,0,0,0,1.1884,0.00098222,9.7857E-08,-6.6074E-07,0.00097045,-9.8509E-08,0.00092366,0,0,0,0,0,0,package://huron_description_3/meshes/right_middle_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/right_middle_thigh.STL,,Brkt_stg2_assembly-1;6495K723_Timing Belt 28T Pulley-4;6495K723_Timing Belt 28T Pulley-1,Coordinate System5,Axis5,right_thigh_roll,revolute,0,0,0.14512,1.5708,0,0,right_upper_thigh,-0.011124,0,-0.99994,0,0,-3.1416,3.1416,,,,,,,,
right_lower_thigh,-0.26753,4.9957E-05,0.053132,0,0,0,4.2544,0.0034501,2.7561E-09,-0.0019797,0.010035,-2.5263E-10,0.01009,0,0,0,0,0,0,package://huron_description_3/meshes/right_lower_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description_3/meshes/right_lower_thigh.STL,,Brkt_Stg3_Assembly-1;6495K714_Timing Belt 14T Pulley-4;Femur_screwed-1;Flipsky Motor-2;VEX Planetary Gearbox Standin Assem-5;Knee Bracket Stage 1-1;6495K714_Timing Belt 14T Pulley-2;6495K723_Timing Belt 28T Pulley-2;Flipsky Motor-4;VEX Planetary Gearbox Standin Assem-1,Coordinate System6,Axis7,right_thigh_pitch,revolute,0,0,0,-1.5819,0,-1.5708,right_middle_thigh,0,0,-1,0,0,-3.14159,3.14159,,,,,,,,
